City,Year,Sport,Discipline,Event,Athlete,Gender,Country_Code,Country,Event_gender,Medal
Barcelona,1992,Athletics,Athletics,1500m,"BOULMERKA, Hassiba",Women,ALG,Algeria,W,Gold
Barcelona,1992,Boxing,Boxing,54 - 57kg (featherweight),"SOLTANI, Hocine",Men,ALG,Algeria,M,Bronze
Barcelona,1992,Tennis,Tennis,doubles,"FRANA, Javier",Men,ARG,Argentina,M,Bronze
Barcelona,1992,Tennis,Tennis,doubles,"MINIUSSI, Christian Carlos",Men,ARG,Argentina,M,Bronze
Barcelona,1992,Aquatics,Swimming,1500m freestyle,"HOUSMAN, Glen Clifford",Men,AUS,Australia,M,Silver
Barcelona,1992,Aquatics,Swimming,800m freestyle,"LEWIS, Hayley Jane",Women,AUS,Australia,W,Silver
Barcelona,1992,Aquatics,Swimming,100m breaststroke,"ROGERS, Philip John",Men,AUS,Australia,M,Bronze
Barcelona,1992,Aquatics,Swimming,400m freestyle,"PERKINS, Kieren John",Men,AUS,Australia,M,Silver
Barcelona,1992,Aquatics,Swimming,200m backstroke,"STEVENSON, Nicole Dawn",Women,AUS,Australia,W,Bronze
Barcelona,1992,Aquatics,Swimming,200m butterfly,"O'NEILL, Susan",Women,AUS,Australia,W,Bronze
Barcelona,1992,Aquatics,Swimming,1500m freestyle,"PERKINS, Kieren John",Men,AUS,Australia,M,Gold
Barcelona,1992,Aquatics,Swimming,400m freestyle,"LEWIS, Hayley Jane",Women,AUS,Australia,W,Bronze
Barcelona,1992,Aquatics,Swimming,100m breaststroke,"RILEY, Samantha Linette",Women,AUS,Australia,W,Bronze
Barcelona,1992,Athletics,Athletics,discus throw,"COSTIAN, Daniela",Women,AUS,Australia,W,Bronze
Barcelona,1992,Athletics,Athletics,high jump,"FORSYTH, Timothy",Men,AUS,Australia,M,Bronze
Barcelona,1992,Canoe / Kayak,Canoe / Kayak F,K-1 1000m (kayak single),"ROBINSON, Clint",Men,AUS,Australia,M,Gold
Barcelona,1992,Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),"GRAHAM, Kelvin John",Men,AUS,Australia,M,Bronze
Barcelona,1992,Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),"WOOD, Steven Michael",Men,AUS,Australia,M,Bronze
Barcelona,1992,Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),"ANDERSSON, Ramon Dean",Men,AUS,Australia,M,Bronze
Barcelona,1992,Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),"ROWLING, Ian Mark",Men,AUS,Australia,M,Bronze
Barcelona,1992,Canoe / Kayak,Canoe / Kayak S,K-1 (kayak single),"WOODWARD, Danielle Anne",Women,AUS,Australia,W,Silver
