Year,Country,Medal,count
1992,Algeria,Bronze,1
1992,Algeria,Gold,1
1992,Argentina,Bronze,2
1992,Australia,Bronze,16
1992,Australia,Gold,14
1992,Australia,Silver,27
1992,Austria,Silver,6
1992,Bahamas,Bronze,1
1992,Belgium,Bronze,2
1992,Belgium,Silver,1
1992,Brazil,Gold,13
1992,Brazil,Silver,1
1992,Bulgaria,Bronze,7
1992,Bulgaria,Gold,3
1992,Bulgaria,Silver,7
1992,Canada,Bronze,12
1992,Canada,Gold,27
1992,Canada,Silver,5
1992,China,Bronze,19
1992,China,Gold,18
1992,China,Silver,46
1992,Colombia,Bronze,1
1992,Croatia,Bronze,3
1992,Croatia,Silver,12
1992,Cuba,Bronze,14
1992,Cuba,Gold,44
1992,Cuba,Silver,13
1992,Czechoslovakia,Bronze,1
1992,Czechoslovakia,Gold,4
1992,Czechoslovakia,Silver,3
1992,Denmark,Bronze,9
1992,Denmark,Gold,3
1992,Denmark,Silver,2
1992,Estonia,Bronze,2
1992,Estonia,Gold,1
1992,Ethiopia,Bronze,2
1992,Ethiopia,Gold,1
1992,Finland,Bronze,2
1992,Finland,Gold,1
1992,Finland,Silver,4
1992,France,Bronze,43
1992,France,Gold,9
1992,France,Silver,5
1992,Germany,Bronze,60
1992,Germany,Gold,81
1992,Germany,Silver,57
1992,Ghana,Bronze,13
1992,Greece,Gold,2
1992,Hungary,Bronze,8
1992,Hungary,Gold,14
1992,Hungary,Silver,23
1992,Independent Olympic Participants (1992),Bronze,2
1992,Independent Olympic Participants (1992),Silver,1
1992,Indonesia,Bronze,1
1992,Indonesia,Gold,2
1992,Indonesia,Silver,3
1992,Iran,Bronze,2
1992,Iran,Silver,1
1992,Ireland,Gold,1
1992,Ireland,Silver,1
1992,Israel,Bronze,1
1992,Israel,Silver,1
1992,Italy,Bronze,14
1992,Italy,Gold,22
1992,Italy,Silver,10
1992,Jamaica,Bronze,1
1992,Jamaica,Silver,3
1992,Japan,Bronze,36
1992,Japan,Gold,3
1992,Japan,Silver,8
1992,Kenya,Bronze,2
1992,Kenya,Gold,2
1992,Kenya,Silver,4
1992,"Korea, North",Bronze,6
1992,"Korea, North",Gold,4
1992,"Korea, South",Bronze,16
1992,"Korea, South",Gold,28
1992,"Korea, South",Silver,5
1992,Latvia,Bronze,1
1992,Latvia,Silver,2
1992,Lithuania,Bronze,12
1992,Lithuania,Gold,1
1992,Malaysia,Bronze,2
1992,Mexico,Silver,1
1992,Mongolia,Bronze,2
1992,Morocco,Bronze,1
1992,Morocco,Gold,1
1992,Morocco,Silver,1
1992,Namibia,Silver,2
1992,Netherlands,Bronze,8
1992,Netherlands,Gold,5
1992,Netherlands,Silver,20
