Year,Country,ath_num,medal,gold,silver,bronze
1992,Algeria,2,1,1,0,1
1992,Algeria,2,1,1,0,2
1992,Argentina,2,2,0,0,16
1992,Australia,53,14,14,27,0
1992,Australia,53,16,14,27,1
1992,Australia,53,27,14,27,2
1992,Austria,6,6,0,6,0
1992,Bahamas,1,1,0,0,7
1992,Belgium,3,2,0,1,12
1992,Belgium,3,1,0,1,19
1992,Brazil,14,1,13,1,1
1992,Brazil,14,13,13,1,3
1992,Bulgaria,16,3,3,7,14
1992,Bulgaria,16,7,3,7,1
1992,Bulgaria,16,7,3,7,9
1992,Canada,37,27,27,5,2
1992,Canada,37,12,27,5,2
1992,Canada,37,5,27,5,2
1992,China,69,46,18,46,43
1992,China,69,18,18,46,60
1992,China,69,19,18,46,13
1992,Colombia,1,1,0,0,0
1992,Croatia,14,12,0,12,8
1992,Croatia,14,3,0,12,2
1992,Cuba,70,44,44,13,1
1992,Cuba,70,13,44,13,2
1992,Cuba,70,14,44,13,0
1992,Czechoslovakia,8,1,4,3,1
1992,Czechoslovakia,8,3,4,3,14
1992,Czechoslovakia,8,4,4,3,1
1992,Denmark,14,9,3,2,36
1992,Denmark,14,3,3,2,2
1992,Denmark,14,2,3,2,6
1992,Estonia,3,2,1,0,16
1992,Estonia,3,1,1,0,1
1992,Ethiopia,3,2,1,0,12
1992,Ethiopia,3,1,1,0,2
1992,Finland,7,4,1,4,0
1992,Finland,7,1,1,4,2
1992,Finland,7,2,1,4,1
1992,France,56,5,9,5,0
1992,France,56,43,9,5,8
1992,France,56,9,9,5,5
1992,Germany,175,60,81,57,4
1992,Germany,175,81,81,57,1
1992,Germany,175,57,81,57,16
1992,Ghana,13,13,0,0,0
1992,Greece,2,2,2,0,1
1992,Hungary,35,23,14,23,19
1992,Hungary,35,14,14,23,1
1992,Hungary,35,8,14,23,1
1992,Independent Olympic Participants (1992),3,2,0,1,14
1992,Independent Olympic Participants (1992),3,1,0,1,6
1992,Indonesia,6,3,2,3,0
1992,Indonesia,6,2,2,3,2
1992,Indonesia,6,1,2,3,1
1992,Iran,3,1,0,1,7
1992,Iran,3,2,0,1,0
1992,Ireland,2,1,1,1,0
1992,Ireland,2,1,1,1,1
1992,Israel,2,1,0,1,2
1992,Israel,2,1,0,1,66
1992,Italy,45,22,22,10,39
1992,Italy,45,10,22,10,85
1992,Italy,45,14,22,10,1
1992,Jamaica,3,3,0,3,1
1992,Jamaica,3,1,0,3,0
1992,Japan,44,8,3,8,84
1992,Japan,44,36,3,8,2
1992,Japan,44,3,3,8,0
1992,Kenya,8,4,2,4,0
1992,Kenya,8,2,2,4,16
1992,Kenya,8,2,2,4,2
1992,"Korea, North",9,6,4,0,44
1992,"Korea, North",9,4,4,0,6
1992,"Korea, South",45,28,28,5,0
1992,"Korea, South",45,16,28,5,12
1992,"Korea, South",45,5,28,5,17
1992,Latvia,3,2,0,2,0
1992,Latvia,3,1,0,2,0
1992,Lithuania,13,12,1,0,10
1992,Lithuania,13,1,1,0,4
1992,Malaysia,2,2,0,0,1
1992,Mexico,1,1,0,1,0
1992,Mongolia,2,2,0,0,1
1992,Morocco,3,1,1,1,1
1992,Morocco,3,1,1,1,20
1992,Morocco,3,1,1,1,2
1992,Namibia,1,2,0,2,47
1992,Netherlands,32,8,5,20,0
1992,Netherlands,32,5,5,20,0
1992,Netherlands,32,20,5,20,26
1992,New Zealand,14,1,1,9,1
1992,New Zealand,14,5,1,9,3
1992,New Zealand,14,9,1,9,1
1992,Nigeria,11,7,0,7,1
1992,Nigeria,11,4,0,7,1
1992,Norway,22,2,2,20,28
1992,Norway,22,1,2,20,12
1992,Norway,22,20,2,20,14
1992,Pakistan,16,16,0,0,4
1992,Peru,1,1,0,1,3
1992,Philippines,1,1,0,0,2
1992,Poland,41,18,5,18,7
1992,Poland,41,5,5,18,0
1992,Poland,41,19,5,18,12
1992,Puerto Rico*,1,1,0,0,1
1992,Qatar,1,1,0,0,1
1992,Romania,42,14,8,31,1
1992,Romania,42,31,8,31,1
1992,Romania,42,8,8,31,2
